Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Growth Environment]	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Media Information]	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
A11	A11	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Silicone	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A12	A12	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A13	A13	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carbon Fiber	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A14	A14	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A15	A15	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Silicone	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A16	A16	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Quartz	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A17	A17	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Quartz	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A18	A18	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Silicone	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A19	A19	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A20	A20	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Silicone	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A21	A21	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carbon Fiber	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A22	A22	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Quartz	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A23	A23	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carbon Fiber	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
A24	A24	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Carbon Fiber	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B1	B1	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B2	B2	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	MIT Grass	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B3	B3	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B4	B4	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	MIT Grass	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B5	B5	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	AL6061	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B6	B6	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Titanium	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B7	B7	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	MIT Grass	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B8	B8	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B9	B9	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B10	B10	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Titanium	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B11	B11	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Titanium	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B12	B12	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B13	B13	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Titanium	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B16	B16	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B17	B17	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	MIT Grass	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B18	B18	Penicillium rubens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1108849	ATCC 28089	OSD	https://osdr.nasa.gov/	Wild Type	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Titanium	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment Protocol	Potato Dextrose Broth coupon coating	25	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	4% Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
