Sample Name,biofilm_mass _micrometer_cubed_by_micrometer_squared,biofilm_biomass_mean_thickness_micrometer,biofilm_surface_area_coverage_percent
F22,0.01862,5.35507,0.77
F23,0.83784,12.74187,21.75
I2,0.07451,4.91863,4
I4,0.11223,9.73881,3.45
I5,0.13871,7.80955,5.53
I8,0.97041,7.07453,26.23
I9,0.00492,13.52719,0.32
I10,0.22346,9.03292,7.77
I13,0.00167,4.52402,0.07
I14,0.25904,9.31632,8.98
I15,0.02965,4.8495,1.16
I16,0.37019,16.72479,12.84
I17,1.89546,13.82473,48.74
I19,0.39596,4.47274,15.86
I20,0.20552,11.39628,4.93
I21,0.00515,6.81221,0.29
I22,0.14081,4.74419,5.96
J9,0.09532,11.7537,3.64
J10,0.02832,6.86137,2.07
J11,0.26575,17.60038,10.17
J13,0.00737,2.9603,0.55
J14,0.00639,6.28476,0.57
J15,0.38183,14.51954,17.76
J16,0.01984,12.05709,1.34
J17,0.00071,2.3649,0.06
J18,0.02526,4.4326,1.54
J19,0.06853,7.47851,4.28
J21,0.00372,13.59893,0.14
J22,0.34054,9.6165,13.36
J24,0.13156,7.98674,8.57
AG1,0.49868,8.976,15.03
AG2,0.43044,10.48452,14.12
AG4,0.31175,30.79592,10.02
AG5,0.23635,5.1635,8.82
AG6,2.08474,20.33932,53.42
AG7,2.38973,9.60873,55.72
AG8,0.51177,10.09887,14.15
AG9,0.2375,6.52994,8.67
AG10,0.23098,8.57013,9.67
AG11,0.16647,9.44975,5.64
AG12,0.79774,12.67474,27.79
AG13,0.12743,8.08772,4.74
AG14,0.2781,5.90597,15.32
AG15,0.66881,12.39074,22.88
AG16,0.02016,11.84316,0.86
AG17,0.09574,5.45395,5.01
AG18,0.39018,8.83978,19.15
AG19,1.28794,13.22731,17.08
AG20,1.44397,15.62619,38
AG21,0.12237,6.24129,4.98
AG22,0.10752,9.33684,4.55
AG23,2.08829,22.71664,50.94
BG3,0.05545,9.46506,2.89
BG4,1.45962,13.16295,50.34
BG7,0.18896,10.32952,5.98
BG10,0.0869,9.9755,3.67
BG12,0.22489,5.38598,12.48
BG13,0.08174,6.56794,5.46
BG15,0.04754,4.07365,4.28
BG16,0.11713,8.38292,5.99
BG17,0.86438,25.09152,22.42
BG18,0.14008,7.30267,5.98
BG19,0.01392,6.05138,0.92
BG20,0.21353,6.67136,7.52
BG22,0.19051,8.3023,6.86
BG23,0.0968,6.09033,4.07
EG1,0.3635,8.8508,9.73
EG5,0.06468,5.86657,2.97
EG6,0.04761,7.04411,2.07
EG8,0.09682,7.34642,2.86
EG10,0.00973,3.93155,0.79
EG11,0.16582,7.9229,6.93
EG12,0.08297,5.54619,2.96
EG13,0.82383,10.50143,22.87
EG14,0.18595,6.70948,6.51
EG15,0.0809,9.51483,2.68
EG16,0.16665,10.14695,6.3
EG18,0.03324,6.43993,1.95
EG19,0.09281,5.31023,3.38
EG20,0.00612,3.55999,0.56
EG21,0.27146,8.75626,7.74
EG23,0.2042,21.71506,5.57
EG24,0.15022,7.15587,3.98
FG4,0.67431,7.4048,28.4
FG5,0.15884,9.03916,4.07
FG8,0.00724,11.2868,0.33
FG9,0.16256,18.21394,4.2
FG10,0.03189,10.15387,0.98
FG12,0.12644,10.40268,4.23
FG13,0.34769,6.37973,12.94
FG14,0.06512,6.20852,2.46
FG16,0.32089,18.30339,6.44
FG17,0.0432,16.90906,1.75
FG18,0.06913,7.26413,2.29
FG19,0.10137,13.97716,3.51
FG22,0.01303,5.25479,0.92
FG23,0.13634,45.19254,3.88
IG1,0.09235,8.92749,3.98
IG2,0.34455,7.95515,10.02
IG3,0.01382,11.38357,0.51
IG4,0.04219,7.28546,1.66
IG5,0.00183,3.17891,0.31
IG8,1.11142,18.01014,18.5
IG9,0.12101,15.22225,2.31
IG12,0.09612,8.51356,3.04
IG13,0.28684,6.09374,9.82
IG14,0.30572,9.26103,8.4
IG15,0.36217,5.6557,15.14
IG16,0.09767,9.64797,4.16
IG20,0.26946,7.99545,10.59
IG21,0.2996,8.51905,10.63
IG22,0.63014,8.2114,18.64
IG23,0.08265,11.13577,2.01
JG9,0.00159,6.71947,0.15
JG10,0.00674,5.65359,0.45
JG12,0.01101,8.86655,0.84
JG13,0.00027,5.71858,0.05
JG14,0.02842,3.39973,2.53
JG15,0.0293,3.97623,1.76
JG20,0.20111,6.66715,13.69
JG21,0.0648,9.35533,2.57
JG22,0.01873,5.04434,1.61
JG23,0.02101,10.63092,1.74
JG24,0.00172,4.51001,0.18
